aX,aY,aZ,tmp,gX,gY,gZ
-2588,-8,15460,22.18,162,-204,-459
-2336,-164,15496,22.22,155,-228,-479
-2432,-32,15404,22.27,177,-211,-480
-2492,8,15408,22.18,183,-228,-492
-2532,-60,15344,22.18,175,-223,-477
-2548,152,15432,22.18,188,-215,-505
-2324,24,15264,22.32,186,-213,-479
-2468,-4,15376,22.18,176,-215,-515
-2444,104,15308,22.22,192,-202,-443
-2600,128,15340,22.22,177,-224,-466
-2604,44,15512,22.27,173,-223,-500
-2656,88,15460,22.18,161,-229,-458
-2596,36,15452,22.22,149,-184,-439
-2648,120,15252,22.27,173,-246,-497
-2596,48,15288,22.18,196,-201,-488
-2572,16,15420,22.13,159,-218,-456
-2544,4,15296,22.18,165,-203,-473
-2652,76,15408,22.27,177,-234,-471
-2588,-20,15372,22.22,185,-198,-461
-2412,-48,15392,22.22,165,-209,-483
-2632,100,15392,22.27,181,-200,-499
-2592,60,15440,22.22,176,-223,-464
-2608,88,15296,22.27,168,-227,-453
-2572,24,15304,22.13,161,-200,-490
-2472,32,15436,22.13,153,-222,-460
-2548,48,15428,22.18,189,-223,-482
-2476,104,15344,22.18,173,-230,-482
-2568,76,15360,22.22,165,-219,-465
-2488,24,15388,22.22,170,-214,-485
-2632,100,15460,22.13,162,-237,-483
-2644,40,15272,22.08,173,-234,-507
-2564,88,15392,22.22,163,-223,-448
-2592,68,15368,22.13,176,-192,-498
-2556,-56,15456,22.18,173,-220,-484
-2528,32,15452,22.22,185,-209,-442
-2548,-60,15404,22.08,172,-202,-483
-2544,76,15444,22.13,153,-225,-495
-2620,44,15532,22.18,182,-203,-476
-2660,-88,15296,22.22,169,-217,-505
-2636,52,15436,22.08,169,-228,-512
-2588,-16,15444,22.13,170,-222,-480
-2556,140,15432,22.13,149,-225,-476
-2564,0,15344,22.13,162,-187,-482
-2484,0,15504,22.18,174,-233,-471
-2548,68,15368,22.22,179,-208,-450
-2476,32,15360,22.13,167,-229,-454
-2592,44,15312,22.18,167,-195,-476
-2536,-28,15416,22.22,190,-196,-463
-2620,8,15272,22.13,157,-218,-482
-2492,64,15472,22.08,198,-207,-496
-2444,32,15332,22.08,174,-201,-448
-2468,4,15324,22.08,186,-211,-476
-2444,116,15448,22.22,171,-232,-466
-2512,88,15272,22.18,163,-233,-474
