;Time, aX, aY, aZ, gX, gY, gZ, Qw, Qx, Qy, Qz, Mx, My, Mz, P, T, ax, ay, az, gX, gY, gZ, P, T,T (F)
1687616547.0,-1010.0,-83.0,-37.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,3299.0,114749.0,30899.0,87766.0,50371.0,-0.493164063,-0.040527344,-0.018066406,0.0,0.0,0.0,0.866183074,50.371,122.6678
1687616548.0,-1015.0,-78.0,-45.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,5399.0,114450.0,30299.0,87771.0,50386.0,-0.495605469,-0.038085938,-0.021972656,0.0,0.0,0.0,0.86623242,50.386,122.6948
1687616551.0,-1017.0,-106.0,-31.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,4949.0,114450.0,29249.0,87769.0,50386.0,-0.496582031,-0.051757813,-0.015136719,0.0,0.0,0.0,0.866212682,50.386,122.6948
1687616557.0,-1020.0,-101.0,-42.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,3449.0,114450.0,30599.0,87774.0,50391.0,-0.498046875,-0.049316406,-0.020507813,0.0,0.0,0.0,0.866262028,50.391,122.7038
1687616560.0,-1023.0,-95.0,-32.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,4499.0,113549.0,30449.0,87772.0,50409.0,-0.499511719,-0.046386719,-0.015625,0.0,0.0,0.0,0.86624229,50.409,122.7362
1687616565.0,-1015.0,-111.0,-37.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.601,4799.0,114749.0,31499.0,87767.0,50409.0,-0.495605469,-0.054199219,-0.018066406,0.0,0.0,0.0,0.866192943,50.409,122.7362
1687616569.0,-1024.0,-117.0,-32.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,4799.0,115499.0,28199.0,87771.0,50399.0,-0.5,-0.057128906,-0.015625,0.0,0.0,0.0,0.86623242,50.399,122.7182
1687616578.0,-1006.0,-101.0,-37.0,0.0,0.0,0.0,0.342,-0.659,0.29,0.602,5399.0,114450.0,31049.0,87763.0,50396.0,-0.491210938,-0.049316406,-0.018066406,0.0,0.0,0.0,0.866153467,50.396,122.7128
1687616582.0,-1012.0,-108.0,-38.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.601,5399.0,114450.0,29849.0,87764.0,50391.0,-0.494140625,-0.052734375,-0.018554688,0.0,0.0,0.0,0.866163336,50.391,122.7038
1687616587.0,-1007.0,-112.0,-41.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,5399.0,114149.0,30599.0,87764.0,50371.0,-0.491699219,-0.0546875,-0.020019531,0.0,0.0,0.0,0.866163336,50.371,122.6678
1687616590.0,-1002.0,-102.0,-47.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.601,5399.0,114899.0,31049.0,87760.0,50376.0,-0.489257813,-0.049804688,-0.022949219,0.0,0.0,0.0,0.866123859,50.376,122.6768
1687616596.0,-1008.0,-123.0,-36.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,5399.0,114149.0,31049.0,87750.0,50376.0,-0.4921875,-0.060058594,-0.017578125,0.0,0.0,0.0,0.866025167,50.376,122.6768
1687616599.0,-1017.0,-93.0,-44.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,5249.0,115049.0,31499.0,87758.0,50366.0,-0.496582031,-0.045410156,-0.021484375,0.0,0.0,0.0,0.86610412,50.366,122.6588
1687616600.0,-1016.0,-104.0,-33.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.601,4199.0,117299.0,30599.0,87763.0,50369.0,-0.49609375,-0.05078125,-0.016113281,0.0,0.0,0.0,0.866153467,50.369,122.6642
1687616608.0,-1005.0,-115.0,-42.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,4949.0,115649.0,31349.0,87769.0,50356.0,-0.490722656,-0.056152344,-0.020507813,0.0,0.0,0.0,0.866212682,50.356,122.6408
1687616614.0,-1010.0,-99.0,-45.0,0.0,0.0,0.0,0.342,-0.659,0.29,0.602,4799.0,115499.0,31199.0,87777.0,50351.0,-0.493164063,-0.048339844,-0.021972656,0.0,0.0,0.0,0.866291636,50.351,122.6318
1687616617.0,-993.0,-122.0,-38.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,5399.0,115349.0,31049.0,87779.0,50344.0,-0.484863281,-0.059570313,-0.018554688,0.0,0.0,0.0,0.866311374,50.344,122.6192
1687616618.0,-1014.0,-105.0,-34.0,0.0,0.0,0.0,0.342,-0.66,0.29,0.602,3749.0,113849.0,31499.0,87778.0,50344.0,-0.495117188,-0.051269531,-0.016601563,0.0,0.0,0.0,0.866301505,50.344,122.6192
